Horodatage;NOG 2SEP992QD;NOG 2SEP992QD_Qualite;NOG 1SEP992QD;NOG 1SEP992QD_Qualite;NOG 0SEP998QD;NOG 0SEP998QD_Qualite;NOG 0SEP999QD;NOG 0SEP999QD_Qualite;NOG 1SEP991QD;NOG 1SEP991QD_Qualite;NOG 2SEP991QD;NOG 2SEP991QD_Qualite
19/12/2019 21:02;;;;;2742;GOOD;6538;GOOD;;;;
26/12/2019 21:07;9280;GOOD;;;2742;GOOD;6538;GOOD;;;3061;GOOD
26/12/2019 21:12;9280;GOOD;18564;GOOD;2742;GOOD;6538;GOOD;5068;GOOD;3061;GOOD
02/01/2020 21:00;9280;GOOD;18567;GOOD;2746;GOOD;6548;GOOD;5069;GOOD;3061;GOOD
02/01/2020 21:08;9286;GOOD;18567;GOOD;2746;GOOD;6548;GOOD;5069;GOOD;3062;GOOD
09/01/2020 21:12;9286;GOOD;18573;GOOD;2752;GOOD;6548;GOOD;5069;GOOD;3062;GOOD
09/01/2020 22:48;9291;GOOD;18573;GOOD;2752;GOOD;6548;GOOD;5069;GOOD;3064;GOOD
16/01/2020 21:22;9298;GOOD;18573;GOOD;2752;GOOD;6548;GOOD;5069;GOOD;3069;GOOD
16/01/2020 21:25;9298;GOOD;18580,7;GOOD;2748;GOOD;6550;GOOD;5069;GOOD;3069;GOOD
17/01/2020 01:05;9298;GOOD;18580,7;GOOD;2748;GOOD;6550;GOOD;5071;GOOD;3069;GOOD
23/01/2020 21:14;9298;GOOD;18586;GOOD;2748;GOOD;6550;GOOD;5073;GOOD;3069;GOOD
23/01/2020 21:22;9305;GOOD;18586;GOOD;2748;GOOD;6550;GOOD;5073;GOOD;3065;GOOD
30/01/2020 21:09;9305;GOOD;18593;GOOD;2748;GOOD;6550;GOOD;5075;GOOD;3065;GOOD
30/01/2020 21:14;9314;GOOD;18593;GOOD;2748;GOOD;6550;GOOD;5075;GOOD;3065;GOOD
06/02/2020 21:04;9314;GOOD;18600;GOOD;2752;GOOD;6576;GOOD;5075;GOOD;3065;GOOD
